[2026-01-24 06:23:55 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2026-01-24 06:45:27 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2026-01-24 07:11:23 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-24 07:11:23 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-24 07:11:23 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-24 07:11:23 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-24 07:15:49 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-24 07:15:49 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-24 07:15:49 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-24 07:15:49 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-24 07:28:24 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-24 07:28:24 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-24 07:28:25 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-24 07:28:25 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-24 07:29:26 : INFO] - Cache for URL: https://www.depannagepcgard.fr/configurateur-pc/ has been purged, triggered by action: save_post 
[2026-01-24 07:29:26 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "CONFIGURATEUR PC" has been purged, triggered by action: save_post 
[2026-01-24 07:29:26 : INFO] - Cache for URL: https://www.depannagepcgard.fr/configurateur-pc/ has been purged, triggered by action: save_post 
[2026-01-24 07:29:26 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "CONFIGURATEUR PC" has been purged, triggered by action: save_post 
[2026-01-24 07:29:50 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-24 07:29:50 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-24 07:29:51 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
